t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,mu_membership_reward,current_delta,eta_delta_drift,punish_floor,punish_intensity_step,pi_reward,lam_punish,mean_exit_capacity,mean_outside_ties,mean_econ_independence,frac_born_inside,mean_tenure,n_deaths_step,exit_rate_last100,cumulative_exit_rate
0,0.34756316073552923,0.5008057324549042,0.34756316073552923,0.5008057324549042,0.2516337139533873,0.5,0.0,0.3269310922903789,0.32113089656848703,0.0,0.0,0.3269310922903789,0.32113089656848703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.76,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.08,0.0,0.22,0.25,0.5072847687426632,0.5172547762135097,0.4973147612718166,0.0,0.0,0,0.02830188679245283,0.31333333333333335
1,0.3586627916946167,0.5009709726819673,0.3586627916946167,0.5009709726819673,0.2516337139533873,0.5,0.6933333333333334,0.32739775895704554,0.32148089656848705,0.0033333333333333335,0.6933333333333334,0.32739775895704554,0.32148089656848705,0.0033333333333333335,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.0,0.19020249105120632,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,24,0.002,0.0,0.013333333333333334,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.013333333333333334,0.22,0.25,0.5093969639285749,0.52030633211427,0.4984875957428798,0.0,1.0,0,0.02830188679245283,0.31333333333333335
2,0.36639054741131655,0.49984089365566764,0.36639054741131655,0.49984089365566764,0.2530524261722512,0.5047434501611064,0.8366666666666667,0.32749398929520523,0.3218393281758917,0.0033333333333333335,0.8366666666666667,0.32749398929520523,0.3218393281758917,0.0033333333333333335,0.006666666666666667,0.006666666666666667,0.0,0.0,0.0,0.0,0.19242770045302043,0.08443333333333332,11.706666666666667,0.0,0.0,0.15,0.08,23,0.00299,0.0,0.019733333333333332,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.0,0.08,0.006666666666666667,0.22,0.25,0.5094208348284727,0.5199919916701373,0.49884967798680824,0.006666666666666667,1.9866666666666666,2,0.02830188679245283,0.31333333333333335
3,0.37707570414340963,0.49953942649327093,0.37707570414340963,0.49953942649327093,0.2523889441686895,0.5098243718574902,0.9033333333333333,0.327980762325489,0.32215000960322443,0.0033333333333333335,0.9033333333333333,0.327980762325489,0.32215000960322443,0.0033333333333333335,0.01,0.01,0.0,0.0,0.0,0.0,0.19169981163812252,0.08471666666666663,11.693333333333333,0.0,0.0,0.15,0.08,23,0.00447505,0.0,0.02933866666666667,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.01,0.22,0.25,0.5105346207307567,0.5213454844007929,0.4997237570607205,0.01,2.9766666666666666,1,0.02830188679245283,0.31333333333333335
4,0.38539546136711644,0.5002859283202165,0.38539546136711644,0.5002859283202165,0.2523889441686895,0.5145952786156534,0.9066666666666666,0.32831409565882236,0.3224000096032244,0.0033333333333333335,0.9066666666666666,0.32831409565882236,0.3224000096032244,0.0033333333333333335,0.01,0.01,0.0,0.006666666666666667,0.0,0.0,0.19092763886059003,0.08499999999999998,11.693333333333333,0.0,0.0,0.15,0.08,22,0.00595267475,0.0,0.03875189333333333,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.01,0.22,0.25,0.5124986654565851,0.5241228611013103,0.5008744698118598,0.01,3.9766666666666666,0,0.02830188679245283,0.31333333333333335
5,0.39631623888070616,0.5023134791342679,0.39631623888070616,0.5023134791342679,0.2505219851482113,0.5190189272789886,0.9166666666666666,0.32996904598941035,0.32366469426820005,0.0033333333333333335,0.9166666666666666,0.32996904598941035,0.32366469426820005,0.0033333333333333335,0.016666666666666666,0.016666666666666666,0.0,0.0033333333333333335,0.0,0.0,0.19213629893947468,0.08471666666666663,11.686666666666667,0.0,0.0,0.15,0.07666666666666666,21,0.00842291137625,0.0,0.054643522133333323,0.0,0.0,0.8,0.0,0.0,0.6,0.0,0.0,0.08,0.016666666666666666,0.22,0.25,0.5137141695963301,0.5252663121497764,0.5021620270428839,0.013333333333333334,4.96,1,0.02830188679245283,0.31333333333333335
6,0.4040490980785047,0.5018752345250419,0.4040490980785047,0.5018752345250419,0.2505219851482113,0.5239076731487654,0.9,0.3311690459894103,0.32456469426820006,0.0033333333333333335,0.9,0.3311690459894103,0.32456469426820006,0.0033333333333333335,0.03,0.03,0.0,0.0,0.0,0.0,0.1913006928236362,0.08499999999999998,11.686666666666667,0.0,0.0,0.15,0.08,20,0.01288079681936875,0.0,0.08355065169066665,0.0,0.0,0.8888888888888888,0.0,0.0,0.6,0.0,0.0,0.08,0.03,0.22,0.25,0.5155804084658373,0.5278622229413799,0.5032985939902946,0.013333333333333334,5.96,0,0.02830188679245283,0.31333333333333335
7,0.4132615856239824,0.5023744087200871,0.4132615856239824,0.5023744087200871,0.2505219851482113,0.5288394280818783,0.9,0.33170237932274366,0.3249646942682,0.0033333333333333335,0.9,0.33170237932274366,0.3249646942682,0.0033333333333333335,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.0,0.19152365760356274,0.08499999999999998,11.686666666666667,0.0,0.0,0.15,0.08,17,0.014816392835271905,0.0,0.09521297199018666,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.013333333333333334,0.22,0.25,0.5173954499021272,0.5303625582682336,0.5044283415360208,0.013333333333333334,6.96,0,0.02830188679245283,0.31333333333333335
8,0.42576216693186403,0.5022716810853382,0.42576216693186403,0.5022716810853382,0.2507641474190182,0.5330492932198097,0.9033333333333333,0.33544544780609653,0.3224065626212424,0.0033333333333333335,0.9033333333333333,0.33544544780609653,0.3224065626212424,0.0033333333333333335,0.043333333333333335,0.043333333333333335,0.0,0.0,0.0,0.0,0.1940239489137436,0.0844333333333333,11.513333333333334,0.0,0.0,0.15,0.08,17,0.021242310871095547,0.0,0.13664204588371628,0.0,0.0,0.9230769230769231,0.0,0.0,0.6,0.0,0.0,0.08,0.043333333333333335,0.22,0.25,0.5169430508636791,0.5291013843104417,0.5047847174169162,0.02,7.906666666666666,2,0.02830188679245283,0.31333333333333335
9,0.43650405494082745,0.5028798549226572,0.43650405494082745,0.5028798549226572,0.2507641474190182,0.5380181058761048,0.94,0.33671211447276317,0.3233565626212424,0.006666666666666667,0.94,0.33671211447276317,0.3233565626212424,0.006666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0033333333333333335,0.0,0.0,0.1926029126552885,0.08499999999999998,11.513333333333334,0.0,0.0,0.15,0.08,14,0.026136099316740068,0.0,0.16724253829937524,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.03333333333333333,0.22,0.25,0.5186767925002791,0.5314442426013845,0.5059093423991737,0.02,8.906666666666666,0,0.02830188679245283,0.31333333333333335
10,0.443662355528359,0.5045135613222987,0.443662355528359,0.5045135613222987,0.2507641474190182,0.5419286130701807,0.9166666666666666,0.33771211447276317,0.3241065626212424,0.01,0.9166666666666666,0.33771211447276317,0.3241065626212424,0.01,0.02666666666666667,0.02666666666666667,0.0,0.006666666666666667,0.0,0.0,0.1928106621963809,0.08499999999999998,11.513333333333334,0.0,0.0,0.15,0.08,13,0.030005418820156362,0.0,0.19056435420005444,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.02666666666666667,0.22,0.25,0.5203601316870595,0.5336930437425813,0.5070272196315376,0.02,9.906666666666666,0,0.02830188679245283,0.31333333333333335
11,0.45210277099249635,0.5049279633563732,0.45210277099249635,0.5049279633563732,0.2501258235772089,0.5425585508931624,0.8666666666666667,0.3408909496231744,0.3268324503412709,0.01,0.8666666666666667,0.3408909496231744,0.3268324503412709,0.01,0.043333333333333335,0.043333333333333335,0.0,0.0033333333333333335,0.0,0.0,0.19396283091894556,0.08471666666666663,11.493333333333334,0.0,0.0,0.15,0.08,12,0.03635539172605558,0.0,0.23008640044938664,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.043333333333333335,0.22,0.25,0.5207910529617502,0.5341489784142075,0.507433127509293,0.023333333333333334,10.87,1,0.02830188679245283,0.31333333333333335
12,0.4609114940758955,0.5049971452776376,0.4609114940758955,0.5049971452776376,0.2501258235772089,0.5432924505635834,0.8933333333333333,0.34269094962317437,0.32818245034127086,0.013333333333333334,0.8933333333333333,0.34269094962317437,0.32818245034127086,0.013333333333333334,0.05,0.05,0.0,0.0033333333333333335,0.0,0.0,0.1931707529090079,0.08499999999999998,11.493333333333334,0.0,0.0,0.15,0.08,10,0.0436736147674253,0.0,0.2754846724403989,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.05,0.22,0.25,0.522391198250914,0.5362341144720433,0.5085482820297845,0.023333333333333334,11.87,0,0.02830188679245283,0.31333333333333335
13,0.4731436094317303,0.5060160745366693,0.4731436094317303,0.5060160745366693,0.2501258235772089,0.5424803019303157,0.9133333333333333,0.34395761628984106,0.32913245034127087,0.013333333333333334,0.9133333333333333,0.34395761628984106,0.32913245034127087,0.013333333333333334,0.03333333333333333,0.03333333333333333,0.0,0.0033333333333333335,0.0,0.0,0.1933625172157027,0.08499999999999998,11.493333333333334,0.0,0.0,0.15,0.08,9,0.04845524669358818,0.0,0.3033083123249242,0.0,0.0,0.9,0.0,0.0,0.6,0.0,0.0,0.08,0.03333333333333333,0.22,0.25,0.5239417426683427,0.5382267397135321,0.5096567456231533,0.023333333333333334,12.87,0,0.02830188679245283,0.31333333333333335
14,0.48302163990973535,0.5063540098953626,0.48302163990973535,0.5063540098953626,0.2501258235772089,0.5419393724197493,0.9466666666666667,0.34522428295650776,0.33008245034127087,0.016666666666666666,0.9466666666666667,0.34522428295650776,0.33008245034127087,0.016666666666666666,0.04,0.04,0.0,0.0033333333333333335,0.0,0.0,0.1935483082724977,0.08499999999999998,11.493333333333334,0.0,0.0,0.15,0.08,7,0.05421297046012023,0.0,0.33724214607842573,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.04,0.22,0.25,0.5254429838192668,0.5401274092035718,0.5107585584349617,0.023333333333333334,13.87,0,0.02830188679245283,0.31333333333333335
15,0.49314723808929944,0.5077931408513098,0.49314723808929944,0.5077931408513098,0.2501258235772089,0.5399918716832905,0.8966666666666666,0.347269095649447,0.33168245034127086,0.023333333333333334,0.8966666666666666,0.347269095649447,0.33168245034127086,0.023333333333333334,0.05,0.056666666666666664,0.0,0.006666666666666667,0.0,0.0,0.1937281485835813,0.08499999999999998,11.493333333333334,0.0,0.0,0.15,0.08,7,0.06244190560781964,0.0,0.3871639698235239,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.05,0.22,0.25,0.5268952175232854,0.5419366746766715,0.5118537603698993,0.023333333333333334,14.87,0,0.02830188679245283,0.31333333333333335
16,0.49952072755391347,0.5082850420620524,0.49952072755391347,0.5082850420620524,0.2501258235772089,0.5381479445867066,0.9166666666666666,0.34866909564944704,0.33283245034127085,0.023333333333333334,0.9166666666666666,0.34866909564944704,0.33283245034127085,0.023333333333333334,0.04666666666666667,0.04666666666666667,0.0,0.006666666666666667,0.0,0.0,0.19390206097546045,0.08499999999999998,11.493333333333334,0.0,0.0,0.15,0.08,5,0.0689828689867322,0.0,0.42608735709372014,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.04666666666666667,0.22,0.25,0.5282987378250799,0.5436550845569326,0.5129423910932273,0.023333333333333334,15.87,0,0.02830188679245283,0.31333333333333335
17,0.5077996981007914,0.507922955760808,0.5077996981007914,0.507922955760808,0.24998678048454034,0.5363441708645259,0.9033333333333333,0.3510120706467335,0.3354261351104113,0.03,0.9033333333333333,0.3510120706467335,0.3354261351104113,0.03,0.06666666666666667,0.07,0.0,0.016666666666666666,0.0,0.0,0.19498817876977825,0.08471666666666663,11.486666666666666,0.0,0.0,0.15,0.08,5,0.07630740305183319,0.0,0.4875656099518457,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.06666666666666667,0.22,0.25,0.5285554731673158,0.5425449314152843,0.5145660149193473,0.02666666666666667,16.813333333333333,1,0.02830188679245283,0.31333333333333335
18,0.515674633059994,0.5085722590194895,0.515674633059994,0.5085722590194895,0.24998678048454034,0.5346721020236832,0.8966666666666666,0.352048699703158,0.33662613511041123,0.03333333333333333,0.8966666666666666,0.352048699703158,0.33662613511041123,0.03333333333333333,0.043333333333333335,0.05,0.0,0.02666666666666667,0.0,0.0,0.19412140079735402,0.08499999999999998,11.486666666666666,0.0,0.0,0.15,0.08,4,0.07955919936990734,0.0,0.5278142977528087,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.043333333333333335,0.22,0.25,0.529871594969754,0.5441045807298565,0.5156386092096515,0.02666666666666667,17.813333333333333,0,0.02830188679245283,0.31333333333333335
19,0.5242929806766625,0.507666697021997,0.5242929806766625,0.507666697021997,0.2502413333125865,0.532968778275354,0.9066666666666666,0.35178355791820487,0.3373143941161828,0.03333333333333333,0.9066666666666666,0.35178355791820487,0.3373143941161828,0.03333333333333333,0.043333333333333335,0.04666666666666667,0.0,0.023333333333333334,0.0,0.0,0.19519134441458327,0.08471666666666663,11.48,0.0,0.0,0.15,0.08,4,0.08365940193063223,0.0,0.5639246784644193,0.0,0.0,0.9285714285714286,0.0,0.0,0.6,0.0,0.0,0.08,0.043333333333333335,0.22,0.25,0.5300023184838352,0.5430780345373758,0.5169266024302946,0.03,18.75,1,0.02830188679245283,0.31333333333333335
20,0.5333668365003563,0.5077665718101659,0.5333668365003563,0.5077665718101659,0.2502413333125865,0.5314292699890165,0.91,0.35305022458487156,0.3383404092351615,0.03666666666666667,0.91,0.35305022458487156,0.3383404092351615,0.03666666666666667,0.06,0.06666666666666667,0.0,0.03,0.0,0.0,0.19433958970640397,0.08499999999999998,11.48,0.0,0.0,0.15,0.08,4,0.08823255086400981,0.0,0.6193128515617975,0.0,0.0,0.95,0.0,0.0,0.6,0.0,0.0,0.08,0.06,0.22,0.25,0.5312319602009958,0.5444791530838279,0.5179847673181636,0.03,19.75,0,0.02830188679245283,0.31333333333333335
21,0.5417248107362798,0.5068058525634357,0.5417248107362798,0.5068058525634357,0.24842178856506772,0.529711914021615,0.91,0.3525277939105487,0.3380236156031543,0.03333333333333333,0.91,0.3525277939105487,0.3380236156031543,0.03333333333333333,0.043333333333333335,0.043333333333333335,0.0,0.03333333333333333,0.0,0.0,0.195591977205313,0.08471666666666663,11.446666666666667,0.0,0.0,0.15,0.07666666666666666,3,0.0852144098140506,0.0,0.5908469779234906,0.0,0.0,0.9230769230769231,0.0,0.0,0.6,0.0,0.0,0.08,0.043333333333333335,0.22,0.25,0.5345842198297669,0.5486158658219596,0.5205525738375741,0.03,20.68,1,0.02830188679245283,0.31333333333333335
22,0.5510516699288968,0.507286892305815,0.5510516699288968,0.507286892305815,0.24842178856506772,0.5283591978226401,0.9,0.3541944605772154,0.3392736156031544,0.03666666666666667,0.9,0.3541944605772154,0.3392736156031544,0.03666666666666667,0.06,0.06,0.0,0.056666666666666664,0.0,0.0,0.19517373061966528,0.08499999999999998,11.446666666666667,0.0,0.0,0.15,0.08,4,0.09105433776498034,0.0,0.6390300383650208,0.0,0.0,0.9444444444444444,0.0,0.0,0.6,0.0,0.0,0.08,0.06,0.22,0.25,0.5357074384139381,0.5498272793108077,0.5215875975170686,0.03,21.68,0,0.02830188679245283,0.31333333333333335
23,0.5598153200697743,0.5077260066250597,0.5598153200697743,0.5077260066250597,0.24842178856506772,0.5263722215160882,0.8833333333333333,0.3552418601094117,0.3398736156031543,0.04,0.8833333333333333,0.3552418601094117,0.3398736156031543,0.04,0.043333333333333335,0.04666666666666667,0.0,0.04,0.0,0.0,0.19530731677907676,0.08499999999999998,11.446666666666667,0.0,0.0,0.15,0.08,4,0.09329889940948875,0.0,0.6729161042643871,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.043333333333333335,0.22,0.25,0.536783917686604,0.5509514243187225,0.522616411054486,0.03,22.68,0,0.02830188679245283,0.31333333333333335
24,0.5699136106116622,0.5084822451846353,0.5699136106116622,0.5084822451846353,0.24842178856506772,0.52403945883244,0.8566666666666667,0.3564950638260122,0.34097361560315437,0.043333333333333335,0.8566666666666667,0.3564950638260122,0.34097361560315437,0.043333333333333335,0.04666666666666667,0.04666666666666667,0.0,0.03333333333333333,0.0,0.0,0.1954351644556598,0.08499999999999998,11.446666666666667,0.0,0.0,0.15,0.08,4,0.09799857241244132,0.01363734392374105,0.706124448845766,0.0681232624240047,0.0,0.9285714285714286,0.0,0.0,0.6,0.0,0.0,0.08,0.04666666666666667,0.22,0.25,0.5378139380836343,0.5519888244565898,0.5236390517106787,0.03,23.68,0,0.02830188679245283,0.31333333333333335
25,0.579772752710366,0.5080434951953712,0.579772752710366,0.5080434951953712,0.24760649119552489,0.5216524805083158,0.93,0.3582360704686637,0.3415070247988996,0.04666666666666667,0.93,0.3582360704686637,0.3415070247988996,0.04666666666666667,0.05333333333333334,0.05333333333333334,0.0,0.05333333333333334,0.0,0.0,0.19665836331850922,0.08471666666666663,11.346666666666666,0.0,0.0,0.15,0.08,4,0.10403793033208632,0.13575975876081128,0.7453352932021841,0.6689704370035743,0.0,0.875,0.0,0.0,0.6,0.0,0.0,0.08,0.05333333333333334,0.22,0.25,0.5367628525650617,0.5501593528057833,0.5233663523243401,0.03333333333333333,24.596666666666668,1,0.02830188679245283,0.31333333333333335
26,0.5886538647461421,0.5071897657847492,0.5886538647461421,0.5071897657847492,0.24760649119552489,0.5195175755800351,0.9133333333333333,0.359270010944678,0.34290346203957106,0.04666666666666667,0.9133333333333333,0.359270010944678,0.34290346203957106,0.04666666666666667,0.06333333333333334,0.07,0.0,0.08333333333333333,0.0,0.0,0.19605762580403818,0.08499999999999998,11.346666666666666,0.0,0.0,0.15,0.08,3,0.1073370650404927,0.13508095996700725,0.8004285873381404,0.6555910282635028,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.06333333333333334,0.22,0.25,0.5377093999852347,0.5510398527982914,0.5243789471721781,0.03333333333333333,25.596666666666668,0,0.02830188679245283,0.31333333333333335
27,0.5967013761689486,0.5077226862380572,0.5967013761689486,0.5077226862380572,0.24760649119552489,0.5174158418366221,0.92,0.360870010944678,0.344903462039571,0.05,0.92,0.360870010944678,0.344903462039571,0.05,0.08,0.08666666666666667,0.0,0.07333333333333333,0.0,0.0,0.1961696878246828,0.08499999999999998,11.346666666666666,0.0,0.0,0.15,0.08,3,0.11349587615329544,0.1367195471048727,0.8710866822580442,0.6884735559633947,0.0,0.9230769230769231,0.0,0.0,0.6,0.0,0.0,0.08,0.08,0.22,0.25,0.5386102681208867,0.5518350697908443,0.525385466450929,0.03333333333333333,26.596666666666668,0,0.02830188679245283,0.31333333333333335
28,0.6027007472681201,0.5096390336728872,0.6027007472681201,0.5096390336728872,0.2463306026568102,0.5156745282978288,0.91,0.3605813621346519,0.34671784601216976,0.05,0.91,0.3605813621346519,0.34671784601216976,0.05,0.06666666666666667,0.07,0.0,0.09333333333333334,0.0,0.0,0.1980725190433344,0.0844333333333333,11.246666666666666,0.0,0.0,0.15,0.07666666666666666,2,0.11474531079228514,0.14417637058482624,0.9012763615945403,0.8524992736482793,0.0,0.8636363636363636,0.0,0.0,0.6,0.0,0.0,0.08,0.07,0.22,0.25,0.5375770470026412,0.5499922043812608,0.5251618896240214,0.03666666666666667,27.48,2,0.02830188679245283,0.31333333333333335
29,0.6129210955842354,0.5102264745235747,0.6129210955842354,0.5102264745235747,0.24563502959621597,0.5141291358779473,0.9033333333333333,0.3616323339418949,0.3475566731451718,0.05,0.9033333333333333,0.3616323339418949,0.3475566731451718,0.05,0.07333333333333333,0.07333333333333333,0.0,0.09333333333333334,0.0,0.0,0.19759455279388782,0.08471666666666663,11.253333333333334,0.0,0.0,0.15,0.08,3,0.11641300793085894,0.14345548873190211,0.9565841676959826,0.8354492881753136,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.07333333333333333,0.22,0.25,0.5374590546409185,0.5485266810821525,0.5263914281996843,0.04,28.383333333333333,1,0.02830188679245283,0.31333333333333335
