alpha,delta,sigma,pi_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime,run_dir
0.0,0.0,0.25,0.05,1,0.0,0.1,0.0457142857142857,0.6866627839254513,0.7949912638322656,0.7257234737071733,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.05/seed_01
0.0,0.0,0.25,0.05,2,0.0,0.0914285714285714,0.0628571428571428,0.601725377426312,0.7354421279654925,0.6431229804340635,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.05/seed_02
0.0,0.0,0.25,0.05,3,0.0,0.0457142857142857,0.04,0.5558441558441558,0.7038961038961039,0.5869882470292307,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.05/seed_03
0.0,0.0,0.25,0.05,4,0.0,0.06,0.0485714285714285,0.647818070067609,0.7609096496619545,0.6828393964090785,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.05/seed_04
0.0,0.0,0.25,0.05,5,0.0,0.0828571428571428,0.0628571428571428,0.5734265734265734,0.7148407148407149,0.6281914542179334,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.05/seed_05
0.0,0.0,0.25,0.25,1,0.0958904109589041,0.3742857142857143,0.1114285714285714,0.8361469712015889,0.9528301886792453,0.7887058001789388,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.25/seed_01
0.0,0.0,0.25,0.25,2,0.0932642487046632,0.4485714285714285,0.1171428571428571,0.8279192273924495,0.9514925373134329,0.8962231564666389,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.25/seed_02
0.0,0.0,0.25,0.25,3,0.0980392156862745,0.4171428571428571,0.1428571428571428,0.7966969062572691,0.9541753896254943,0.7521555454391937,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.25/seed_03
0.0,0.0,0.25,0.25,4,0.1016042780748663,0.4657142857142857,0.1228571428571428,0.8340825500612995,0.9589293011851246,0.9030260101882027,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.25/seed_04
0.0,0.0,0.25,0.25,5,0.0865800865800865,0.34,0.1257142857142857,0.8145814581458146,0.946894689468947,0.7891047451331682,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.25/seed_05
0.0,0.0,0.25,0.5,1,0.1313131313131313,0.4342857142857143,0.1771428571428571,0.7761887736860923,0.9590632820879513,0.6876260668755118,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.50/seed_01
0.0,0.0,0.25,0.5,2,0.0995475113122171,0.3685714285714285,0.1714285714285714,0.7747731397459166,0.946098003629764,0.6137431587858888,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.50/seed_02
0.0,0.0,0.25,0.5,3,0.116751269035533,0.4371428571428571,0.1771428571428571,0.7953205600589536,0.9620486366985999,0.7695004381685578,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.50/seed_03
0.0,0.0,0.25,0.5,4,0.1375661375661375,0.46,0.1571428571428571,0.847972972972973,0.9590620031796503,0.8170249425075996,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.50/seed_04
0.0,0.0,0.25,0.5,5,0.1192660550458715,0.3771428571428571,0.1657142857142857,0.7729062276306371,0.9520400858983536,0.5967702838954227,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.25/pi_0.50/seed_05
0.0,0.0,0.75,0.05,1,0.0850202429149797,0.2942857142857142,0.1371428571428571,0.8497416974169741,0.9672324723247232,0.9344737342666829,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.05/seed_01
0.0,0.0,0.75,0.05,2,0.0964912280701754,0.3485714285714286,0.1285714285714285,0.8190963642781504,0.9643487469114014,0.8396550908364799,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.05/seed_02
0.0,0.0,0.75,0.05,3,0.1121495327102803,0.3885714285714285,0.1428571428571428,0.8111698522434594,0.9757353937915142,0.9225108084902292,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.05/seed_03
0.0,0.0,0.75,0.05,4,0.1023255813953488,0.3857142857142857,0.1314285714285714,0.8294514445717195,0.9747995418098511,0.957324213818447,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.05/seed_04
0.0,0.0,0.75,0.05,5,0.1004366812227074,0.3457142857142857,0.1342857142857142,0.8502223824978964,0.9743959610530112,0.9535853533133211,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_retention_sweep/alpha_0.00/delta_0.00/sigma_0.75/pi_0.05/seed_05
