t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,active_punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,pi_reward,lam_punish
0,0.3365370925069666,0.5072095157719756,0.3365370925069666,0.5072095157719756,0.2565277964191035,0.5,0.0,0.3577973194433776,0.32627624322161425,0.005714285714285714,0.0,0.3577973194433776,0.32627624322161425,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.794285714285714,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.25
1,0.34595561579510203,0.507236615325967,0.34595561579510203,0.507236615325967,0.2565277964191035,0.508832197550934,0.6457142857142857,0.357225890871949,0.3258476717930428,0.005714285714285714,0.6457142857142857,0.357225890871949,0.3258476717930428,0.005714285714285714,0.02,0.02,0.02,0.0,0.022857142857142857,0.0,0.0,0.1892620814326354,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,28,0.0029999999999999996,0.0,0.02,0.0,0.0,0.7142857142857143,0.08,0.25
2,0.3554473826163831,0.507621806820899,0.3554473826163831,0.507621806820899,0.2565277964191035,0.5167940993659786,0.8885714285714286,0.3564258908719491,0.3252476717930428,0.005714285714285714,0.8885714285714286,0.3564258908719491,0.3252476717930428,0.005714285714285714,0.025714285714285714,0.025714285714285714,0.025714285714285714,0.0,0.02857142857142857,0.0,0.0,0.1892620814326354,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,27,0.006842142857142857,0.0,0.04531428571428571,0.0,0.0,0.7777777777777778,0.08,0.25
3,0.3659205357223011,0.5071700912880434,0.3659205357223011,0.5071700912880434,0.2565277964191035,0.524184179722412,0.8771428571428571,0.35568303372909194,0.32469052893589995,0.002857142857142857,0.8771428571428571,0.35568303372909194,0.32469052893589995,0.002857142857142857,0.025714285714285714,0.025714285714285714,0.025714285714285714,0.0,0.03142857142857143,0.0,0.0,0.1892620814326354,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,25,0.010665075,0.0,0.07012228571428572,0.0,0.0,0.8888888888888888,0.08,0.25
4,0.37715227941572704,0.5061312877445447,0.37715227941572704,0.5061312877445447,0.2565277964191035,0.5303666643723728,0.8971428571428571,0.35476874801480623,0.32400481465018566,0.002857142857142857,0.8971428571428571,0.35476874801480623,0.32400481465018566,0.002857142857142857,0.03142857142857143,0.03142857142857143,0.03142857142857143,0.0,0.054285714285714284,0.0,0.0,0.1892620814326354,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,23,0.015326035339285714,0.0,0.10014841142857142,0.0,0.0,0.7272727272727273,0.08,0.25
5,0.3866968580766827,0.5071606774957006,0.3866968580766827,0.5071606774957006,0.2565277964191035,0.5354263423248959,0.9142857142857143,0.3533401765862348,0.3229333860787571,0.0,0.9142857142857143,0.3533401765862348,0.3229333860787571,0.0,0.05142857142857143,0.05142857142857143,0.05142857142857143,0.0,0.09714285714285714,0.0,0.0,0.1892620814326354,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,20,0.022963690876875,0.0,0.14957401462857142,0.0,0.0,0.8888888888888888,0.08,0.25
6,0.39599960774436893,0.5087612226408491,0.39599960774436893,0.5087612226408491,0.2565277964191035,0.5354263423248959,0.8542857142857143,0.35196874801480615,0.32199748890457175,0.0,0.8542857142857143,0.35196874801480615,0.32199748890457175,0.0,0.04285714285714286,0.045714285714285714,0.045714285714285714,0.0,0.12,0.0,0.0,0.1892620814326354,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,16,0.029706015279633482,0.0,0.1922968200502857,0.0,0.0,0.9375,0.08,0.25
7,0.40552041251228305,0.5101440876824926,0.40552041251228305,0.5101440876824926,0.2565277964191035,0.5354263423248959,0.8971428571428571,0.3512830337290919,0.3215260603331432,0.0,0.8971428571428571,0.3512830337290919,0.3215260603331432,0.0,0.03428571428571429,0.037142857142857144,0.037142857142857144,0.0,0.14,0.0,0.0,0.1892620814326354,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,11,0.035128913774663886,0.0,0.22559374079213715,0.0,0.0,0.9230769230769231,0.08,0.25
8,0.4148591259604745,0.5101084293533782,0.4148591259604745,0.5101084293533782,0.2565277964191035,0.5354263423248959,0.9228571428571428,0.35014017658623475,0.32066891747600035,0.0,0.9228571428571428,0.35014017658623475,0.32066891747600035,0.0,0.045714285714285714,0.045714285714285714,0.045714285714285714,0.0,0.15714285714285714,0.0,0.0,0.1892620814326354,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,9,0.04181041206293343,0.14570253127247088,0.2667961516905801,0.8894949587776007,0.0,0.6875,0.08,0.25
9,0.4241775800396789,0.5108009994982984,0.4241775800396789,0.5108009994982984,0.2565277964191035,0.5354263423248959,0.9371428571428572,0.34951160515766333,0.320283203190286,0.0,0.9371428571428572,0.34951160515766333,0.320283203190286,0.0,0.02857142857142857,0.03142857142857143,0.03142857142857143,0.0,0.21142857142857144,0.0,0.0,0.1892620814326354,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,7,0.04631564571690447,0.14628731296828124,0.2928888000853399,0.9039207967999998,0.0,0.8181818181818182,0.08,0.25
