t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,active_punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,pi_reward,lam_punish
0,0.3579605308037155,0.5077727076179395,0.3579605308037155,0.5077727076179395,0.26107685272754566,0.5,0.0,0.33369796589576517,0.3279135358137105,0.005714285714285714,0.0,0.33369796589576517,0.3279135358137105,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.794285714285714,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25
1,0.3663722005023792,0.5082385825338471,0.3663722005023792,0.5082385825338471,0.26107685272754566,0.5073806164839121,0.5742857142857143,0.33306939446719375,0.32744210724228195,0.002857142857142857,0.5742857142857143,0.33306939446719375,0.32744210724228195,0.002857142857142857,0.02,0.02,0.02,0.0,0.037142857142857144,0.0,0.0,0.18878086991497087,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,28,0.0029999999999999996,0.0,0.02,0.0,0.0,0.7142857142857143,0.05,0.25
2,0.3767634883175998,0.5082467767945089,0.3767634883175998,0.5082467767945089,0.26107685272754566,0.5148856142625134,0.8428571428571429,0.3315836801814794,0.3263278215279962,0.0,0.8428571428571429,0.3315836801814794,0.3263278215279962,0.0,0.05142857142857143,0.054285714285714284,0.054285714285714284,0.0,0.04,0.0,0.0,0.18878086991497087,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,26,0.011127857142857142,0.0,0.07388571428571429,0.0,0.0,0.8947368421052632,0.05,0.25
3,0.3856190524319378,0.5078764194924491,0.3856190524319378,0.5078764194924491,0.26107685272754566,0.5148856142625134,0.9228571428571428,0.3304979658957652,0.3255135358137105,0.0,0.9228571428571428,0.3304979658957652,0.3255135358137105,0.0,0.037142857142857144,0.037142857142857144,0.037142857142857144,0.0,0.08571428571428572,0.0,0.0,0.18878086991497087,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,19,0.01664364642857143,0.0,0.10955085714285713,0.0,0.0,0.8461538461538461,0.05,0.25
4,0.39512477808411334,0.5083473533604569,0.39512477808411334,0.5083473533604569,0.26107685272754566,0.5148856142625134,0.92,0.32861225161005087,0.32409925009942475,0.0,0.92,0.32861225161005087,0.32409925009942475,0.0,0.06285714285714286,0.06571428571428571,0.06571428571428571,0.0,0.12857142857142856,0.0,0.0,0.18878086991497087,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,17,0.02641757105357143,0.0,0.1730741257142857,0.0,0.0,0.8695652173913043,0.05,0.25
5,0.4050229835375631,0.5088490700611837,0.4050229835375631,0.5088490700611837,0.26107685272754566,0.5148856142625134,0.9114285714285715,0.3278693944671937,0.32354210724228194,0.0,0.9114285714285715,0.3278693944671937,0.32354210724228194,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.10571428571428572,0.0,0.0,0.18878086991497087,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,11,0.030571197484017855,0.0,0.19818407177142855,0.0,0.0,0.9,0.05,0.25
6,0.41473616306935973,0.5095242681863834,0.41473616306935973,0.5095242681863834,0.26107685272754566,0.5148856142625134,0.8885714285714286,0.32769796589576516,0.3234135358137105,0.0,0.8885714285714286,0.32769796589576516,0.3234135358137105,0.0,0.008571428571428572,0.008571428571428572,0.008571428571428572,0.0,0.08857142857142856,0.0,0.0,0.18878086991497087,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,9,0.03170405578231205,0.0,0.20279181890742856,0.0,0.0,1.0,0.05,0.25
7,0.42345332655184165,0.5087782830230407,0.42345332655184165,0.5087782830230407,0.26107685272754566,0.5148856142625134,0.86,0.32752653732433656,0.3232849643851391,0.0,0.86,0.32752653732433656,0.3232849643851391,0.0,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.0,0.13428571428571429,0.0,0.0,0.18878086991497087,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,9,0.03240267836054335,0.0,0.2044502682435657,0.0,0.0,1.0,0.05,0.25
8,0.4332249567882796,0.5093627060411727,0.4332249567882796,0.5093627060411727,0.26107685272754566,0.5148856142625134,0.8542857142857143,0.326955108752908,0.3228563929565677,0.0,0.8542857142857143,0.326955108752908,0.3228563929565677,0.0,0.02,0.02,0.02,0.0,0.14857142857142858,0.0,0.0,0.18878086991497087,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,9,0.035240664968740634,0.0,0.22036126287869437,0.0,0.0,0.7142857142857143,0.05,0.25
9,0.4414974061354503,0.5105303028798494,0.4414974061354503,0.5105303028798494,0.26107685272754566,0.5148856142625134,0.8771428571428571,0.3258122516100509,0.3219992500994248,0.0,0.8771428571428571,0.3258122516100509,0.3219992500994248,0.0,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.0,0.19714285714285715,0.0,0.0,0.18878086991497087,0.0476,11.794285714285714,0.0,0.0,0.15,0.08,8,0.04149303307246836,0.0,0.25881118047826335,0.0,0.0,0.8666666666666667,0.05,0.25
