t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,mu_membership_reward,current_delta,eta_delta_drift,punish_floor,punish_intensity_step,pi_reward,lam_punish,mean_exit_capacity,mean_outside_ties,mean_econ_independence,frac_born_inside,mean_tenure,n_deaths_step,exit_rate_last100,cumulative_exit_rate
0,0.35751873269525225,0.4999363469548691,0.35751873269525225,0.4999363469548691,0.2442398800204226,0.5,0.0,0.3373448404302144,0.3434719811150113,0.0033333333333333335,0.0,0.3373448404302144,0.3434719811150113,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.76,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.08,0.0,0.22,0.25,0.50762626169642,0.5091576954120545,0.5060948279807855,0.0,0.0,0,0.047058823529411764,0.46
1,0.36697195329105015,0.4992858775432787,0.36697195329105015,0.4992858775432787,0.2442398800204226,0.5010930926040233,0.6166666666666667,0.33861150709688104,0.34442198111501127,0.0033333333333333335,0.6166666666666667,0.33861150709688104,0.34442198111501127,0.0033333333333333335,0.03,0.03333333333333333,0.0,0.0033333333333333335,0.0,0.0,0.1907098919121324,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,24,0.004999999999999999,0.0,0.03333333333333333,0.0,0.0,0.9,0.0,0.0,0.6,0.0,0.0,0.08,0.03,0.22,0.25,0.5097216004891215,0.5122640648750383,0.5071791361032049,0.0,1.0,0,0.047058823529411764,0.46
2,0.3765770290134336,0.49894308941148086,0.3765770290134336,0.49894308941148086,0.24459311332532963,0.5011869813342099,0.79,0.34104058488144207,0.34649216721693943,0.0033333333333333335,0.79,0.34104058488144207,0.34649216721693943,0.0033333333333333335,0.03333333333333333,0.03666666666666667,0.0,0.006666666666666667,0.0,0.0,0.19180232626187138,0.08471666666666663,11.76,0.0,0.0,0.15,0.08,21,0.010475,0.0,0.06933333333333333,0.0,0.0,0.9090909090909091,0.0,0.0,0.6,0.0,0.0,0.08,0.03333333333333333,0.22,0.25,0.5128527875723377,0.5160522328660443,0.509653342278631,0.0,1.9933333333333334,1,0.047058823529411764,0.46
3,0.3862162037013037,0.49814512875102424,0.3862162037013037,0.49814512875102424,0.24459311332532963,0.5009033773307584,0.8666666666666667,0.34190725154810875,0.34714216721693947,0.0033333333333333335,0.8666666666666667,0.34190725154810875,0.34714216721693947,0.0033333333333333335,0.02666666666666667,0.02666666666666667,0.0,0.0033333333333333335,0.0,0.0,0.1913519271464275,0.08499999999999998,11.76,0.0,0.0,0.15,0.08,18,0.014422625,0.0,0.09461333333333333,0.0,0.0,0.875,0.0,0.0,0.6,0.0,0.0,0.08,0.02666666666666667,0.22,0.25,0.5148868344499649,0.5190653691258549,0.510708299774075,0.0,2.993333333333333,0,0.047058823529411764,0.46
4,0.39588044843148484,0.49912551246512293,0.39588044843148484,0.49912551246512293,0.24443308439604597,0.5013131583225012,0.9066666666666666,0.3425278733748071,0.3489170792206178,0.0033333333333333335,0.9066666666666666,0.3425278733748071,0.3489170792206178,0.0033333333333333335,0.03333333333333333,0.03333333333333333,0.0,0.013333333333333334,0.0,0.0,0.19236826207196486,0.08471666666666663,11.753333333333334,0.0,0.0,0.15,0.08,17,0.019350511874999997,0.0,0.1260544,0.0,0.0,0.9,0.0,0.0,0.6,0.0,0.0,0.08,0.03333333333333333,0.22,0.25,0.5173424994120357,0.5227190036015515,0.5119659952225198,0.0,3.98,1,0.047058823529411764,0.46
5,0.4042122771918409,0.49886585159526114,0.4042122771918409,0.49886585159526114,0.24411304766241793,0.5011550274389315,0.9366666666666666,0.34466109439555187,0.351791243520813,0.013333333333333334,0.9366666666666666,0.34466109439555187,0.351791243520813,0.013333333333333334,0.03666666666666667,0.03666666666666667,0.0,0.0033333333333333335,0.0,0.0,0.19298792548389013,0.08471666666666663,11.746666666666666,0.0,0.0,0.15,0.08,14,0.024753759315625,0.0,0.16019997866666666,0.0,0.0,0.8181818181818182,0.0,0.0,0.6,0.0,0.0,0.08,0.03666666666666667,0.22,0.25,0.5214566548453049,0.5288500780231233,0.5140632316674862,0.0,4.963333333333333,1,0.047058823529411764,0.46
6,0.41508134480455977,0.49807142971858354,0.41508134480455977,0.49807142971858354,0.24430020583142673,0.4983547874627262,0.93,0.3440489476450761,0.3516944016537425,0.02,0.93,0.3440489476450761,0.3516944016537425,0.02,0.023333333333333334,0.023333333333333334,0.0,0.006666666666666667,0.0,0.0,0.19406524218440144,0.08471666666666663,11.48,0.0,0.0,0.15,0.08,13,0.028629990519046876,0.0,0.18366264575999997,0.0,0.0,0.875,0.0,0.0,0.6,0.0,0.0,0.08,0.02666666666666667,0.22,0.25,0.524734544403938,0.5326823489181494,0.5167867398897266,0.0,5.943333333333333,1,0.047058823529411764,0.46
7,0.4218752361671117,0.49895184641818596,0.4218752361671117,0.49895184641818596,0.24415742344076277,0.4968970460669914,0.92,0.34304441373144956,0.3502568969395168,0.02,0.92,0.34304441373144956,0.3502568969395168,0.02,0.013333333333333334,0.013333333333333334,0.0,0.0033333333333333335,0.0,0.0,0.1961807083869236,0.0844333333333333,11.48,0.0,0.0,0.15,0.08,13,0.030486840566451637,0.0,0.19332272617813331,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.013333333333333334,0.22,0.25,0.5296753003158476,0.537821062412373,0.5215295382193224,0.0,6.8966666666666665,2,0.047058823529411764,0.46
8,0.4312833325249657,0.4988471170173873,0.4312833325249657,0.4988471170173873,0.24415742344076277,0.4957780609380196,0.92,0.34351108039811623,0.35060689693951674,0.02,0.92,0.34351108039811623,0.35060689693951674,0.02,0.02,0.02,0.0,0.0033333333333333335,0.0,0.0,0.1949825698784949,0.08499999999999998,11.48,0.0,0.0,0.15,0.08,12,0.03333440636361938,0.0,0.20945627165457065,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.02,0.22,0.25,0.5315677491076247,0.5406099128630315,0.5225255853522179,0.0,7.8966666666666665,0,0.047058823529411764,0.46
9,0.43895331425534473,0.4974246895546085,0.43895331425534473,0.4974246895546085,0.24598527422866653,0.49458427751991296,0.8966666666666666,0.3462382822153222,0.3526983245441586,0.023333333333333334,0.8966666666666666,0.3462382822153222,0.3526983245441586,0.023333333333333334,0.05333333333333334,0.056666666666666664,0.0,0.013333333333333334,0.0,0.0,0.19721198626241324,0.0844333333333333,11.473333333333333,0.0,0.0,0.15,0.08,10,0.04047533664046308,0.0,0.2619338128881459,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.08,0.05333333333333334,0.22,0.25,0.5376361862015933,0.5465540426285527,0.5287183297746338,0.0,8.836666666666666,2,0.047058823529411764,0.46
