eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share,median_final_delta
0.0,0.1,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.04428571428571425,0.42700168678393835,0.04999999999999995,0.44055535619040287,0.1
0.0,0.1,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.0909090909090909,0.4028571428571428,0.8110325997504026,0.12800766519101492,0.7334764788487442,0.1
0.0,0.1,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.12382356152418385,0.4142857142857143,0.8006025031979048,0.1722996117835122,0.7066831491085335,0.1
0.0,0.1,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.10021954612642375,0.36857142857142855,0.8072998186615052,0.14179690287590097,0.8974010964163239,0.1
0.0,0.1,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13801313628899836,0.4,0.8081445418464344,0.1598150241877189,0.9549637184642207,0.1
0.0,0.1,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.14762434450977274,0.39285714285714285,0.8116606938607482,0.16563458588957053,0.9644291476464921,0.1
0.0,0.1,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09553571428571425,0.3142857142857143,0.7831917654510763,0.12922444494960975,0.9553697378421608,0.1
0.0,0.1,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1309840885506745,0.31857142857142856,0.7820175612390932,0.13493334292859327,0.9696577752027205,0.1
0.0,0.1,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.13226930985734475,0.31285714285714283,0.7788159286556957,0.13587706538361116,0.969922146926029,0.1
0.0,0.2,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.04428571428571425,0.42797426757268575,0.04999999999999995,0.44411783912147285,0.2
0.0,0.2,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.0929735877669657,0.4014285714285714,0.8087640265787823,0.12845341851413095,0.7404868276215912,0.2
