t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,pi_reward,lam_punish
0,0.351840345025693,0.49463362562810176,0.351840345025693,0.49463362562810176,0.24869350175742913,0.5,0.0,0.32834350315332206,0.32129225930544175,0.008571428571428572,0.0,0.32834350315332206,0.32129225930544175,0.008571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.794285714285714,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.25
1,0.3614004609234986,0.49390555999924485,0.3614004609234986,0.49390555999924485,0.24869350175742913,0.5012651751254091,0.6657142857142857,0.3293149317247506,0.3220208307340132,0.008571428571428572,0.6657142857142857,0.3293149317247506,0.3220208307340132,0.008571428571428572,0.025714285714285714,0.025714285714285714,0.0,0.03142857142857143,0.0,0.0,0.03314902912470827,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,28,0.0038571428571428576,0.0,0.025714285714285714,0.0,0.0,1.0,0.22,0.25
2,0.3714096208816833,0.49330849562467594,0.3714096208816833,0.49330849562467594,0.24869350175742913,0.5022765541251655,0.88,0.33005778886760784,0.32257797359115603,0.008571428571428572,0.88,0.33005778886760784,0.32257797359115603,0.008571428571428572,0.02,0.02,0.0,0.017142857142857144,0.0,0.0,0.03314902912470827,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,25,0.006837857142857143,0.0,0.045200000000000004,0.0,0.0,0.8571428571428571,0.22,0.25
3,0.38226155867272293,0.49338272512543185,0.38226155867272293,0.49338272512543185,0.24869350175742913,0.5033454165311341,0.9457142857142857,0.3308577888676078,0.3231779735911561,0.011428571428571429,0.9457142857142857,0.3308577888676078,0.3231779735911561,0.011428571428571429,0.017142857142857144,0.02,0.0,0.025714285714285714,0.0,0.0,0.03314902912470827,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,22,0.009803667857142857,0.0,0.06429599999999999,0.0,0.0,0.8571428571428571,0.22,0.25
4,0.39051055142937735,0.4926602002659138,0.39051055142937735,0.4926602002659138,0.24869350175742913,0.50271850799123,0.9314285714285714,0.33211493172475065,0.32412083073401315,0.011428571428571429,0.9314285714285714,0.33211493172475065,0.32412083073401315,0.011428571428571429,0.03142857142857143,0.03142857142857143,0.0,0.02857142857142857,0.0,0.0,0.03314902912470827,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,22,0.014468935232142857,0.0,0.09443865142857143,0.0,0.0,1.0,0.22,0.25
5,0.3987326459872018,0.49378532260653923,0.3987326459872018,0.49378532260653923,0.24869350175742913,0.5018081237133302,0.8742857142857143,0.3328006460104649,0.3246351164482989,0.014285714285714285,0.8742857142857143,0.3328006460104649,0.3246351164482989,0.014285714285714285,0.017142857142857144,0.017142857142857144,0.0,0.025714285714285714,0.0,0.0,0.03314902912470827,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,19,0.01696801912741071,0.0,0.10969273554285712,0.0,0.0,0.8333333333333334,0.22,0.25
6,0.4085155435135269,0.49294440967381864,0.4085155435135269,0.49294440967381864,0.24869350175742913,0.4994617714496137,0.8885714285714286,0.33371493172475064,0.32532083073401324,0.02,0.8885714285714286,0.33371493172475064,0.32532083073401324,0.02,0.02857142857142857,0.02857142857142857,0.0,0.03428571428571429,0.0,0.0,0.03314902912470827,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,18,0.021168893317487947,0.0,0.13607030940342857,0.0,0.0,0.6,0.22,0.25
7,0.4188569756765303,0.4933688188937134,0.4188569756765303,0.4933688188937134,0.24869350175742913,0.49632231025795404,0.9085714285714286,0.33445778886760774,0.32587797359115606,0.02,0.9085714285714286,0.33445778886760774,0.32587797359115606,0.02,0.02,0.02,0.0,0.011428571428571429,0.0,0.0,0.03314902912470827,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,17,0.024063048850900503,0.0,0.15334890321536,0.0,0.0,0.8571428571428571,0.22,0.25
8,0.4286128176148218,0.4937900287038132,0.4286128176148218,0.4937900287038132,0.24869350175742913,0.4932406610287333,0.9114285714285715,0.3364128375953189,0.32737797359115606,0.02,0.9114285714285715,0.3364128375953189,0.32737797359115606,0.02,0.05142857142857143,0.05142857142857143,0.0,0.022857142857142857,0.0,0.0,0.03314902912470827,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,15,0.03165701932093171,0.0,0.20171049657962423,0.0,0.0,0.9444444444444444,0.22,0.25
9,0.43825347434103945,0.49434036341250664,0.43825347434103945,0.49434036341250664,0.24869350175742913,0.4905266306669255,0.8914285714285715,0.33693060032601685,0.3278922593054418,0.02,0.8914285714285715,0.33693060032601685,0.3278922593054418,0.02,0.02,0.02,0.0,0.03428571428571429,0.0,0.0,0.03314902912470827,0.12176634914903714,11.794285714285714,0.0,0.0,0.15,0.08,13,0.03449873422432705,0.0,0.21767628664803168,0.0,0.0,0.8571428571428571,0.22,0.25
